Mod:Item:MetaData, Localized Name
tconstruct:sharpening_kit:0, Wooden Sharpening Kit
tconstruct:sharpening_kit:0, Stone Sharpening Kit
tconstruct:sharpening_kit:0, Flint Sharpening Kit
tconstruct:sharpening_kit:0, Cactus Sharpening Kit
tconstruct:sharpening_kit:0, Bone Sharpening Kit
tconstruct:sharpening_kit:0, Obsidian Sharpening Kit
tconstruct:sharpening_kit:0, Prismarine Sharpening Kit
tconstruct:sharpening_kit:0, End Sharpening Kit
tconstruct:sharpening_kit:0, Paper Sharpening Kit
tconstruct:sharpening_kit:0, Sponge Sharpening Kit
tconstruct:sharpening_kit:0, Firewood Sharpening Kit
tconstruct:sharpening_kit:0, Iron Sharpening Kit
tconstruct:sharpening_kit:0, Pig Iron Sharpening Kit
tconstruct:sharpening_kit:0, Knightslime Sharpening Kit
tconstruct:sharpening_kit:0, Slime Sharpening Kit
tconstruct:sharpening_kit:0, Slime Sharpening Kit
tconstruct:sharpening_kit:0, Magma Slime Sharpening Kit
tconstruct:sharpening_kit:0, Netherrack Sharpening Kit
tconstruct:sharpening_kit:0, Cobalt Sharpening Kit
tconstruct:sharpening_kit:0, Ardite Sharpening Kit
tconstruct:sharpening_kit:0, Manyullyn Sharpening Kit
tconstruct:sharpening_kit:0, Copper Sharpening Kit
tconstruct:sharpening_kit:0, Bronze Sharpening Kit
tconstruct:sharpening_kit:0, Lead Sharpening Kit
tconstruct:sharpening_kit:0, Silver Sharpening Kit
tconstruct:sharpening_kit:0, Electrum Sharpening Kit
tconstruct:sharpening_kit:0, Steel Sharpening Kit
tconstruct:sharpening_kit:0, Gold Sharpening Kit
tconstruct:sharpening_kit:0, Quartz Sharpening Kit
tconstruct:sharpening_kit:0, Diamond Sharpening Kit
tconstruct:sharpening_kit:0, Emerald Sharpening Kit
tconstruct:sharpening_kit:0, Tin Sharpening Kit
tconstruct:sharpening_kit:0, Zinc Sharpening Kit
tconstruct:sharpening_kit:0, Brass Sharpening Kit
tconstruct:sharpening_kit:0, Nickel Sharpening Kit
tconstruct:sharpening_kit:0, Aluminum Sharpening Kit
tconstruct:sharpening_kit:0, Aluminum Brass Sharpening Kit
tconstruct:sharpening_kit:0, Fairy Sharpening Kit
tconstruct:sharpening_kit:0, Pokefennium Sharpening Kit
tconstruct:sharpening_kit:0, Red Aurum Sharpening Kit
tconstruct:sharpening_kit:0, Drulloy Sharpening Kit
tconstruct:sharpening_kit:0, Alumite Sharpening Kit
tconstruct:sharpening_kit:0, Treated Wood Sharpening Kit
tconstruct:sharpening_kit:0, Constantan Sharpening Kit
tconstruct:pick_head:0, Topaz Pickaxe Head
tconstruct:pick_head:0, Malachite Pickaxe Head
tconstruct:pick_head:0, Peridot Pickaxe Head
tconstruct:pick_head:0, Tanzanite Pickaxe Head
tconstruct:pick_head:0, Ruby Pickaxe Head
tconstruct:pick_head:0, Sapphire Pickaxe Head
tconstruct:pick_head:0, Amber Pickaxe Head
tconstruct:pick_head:0, Wooden Pickaxe Head
tconstruct:pick_head:0, Stone Pickaxe Head
tconstruct:pick_head:0, Flint Pickaxe Head
tconstruct:pick_head:0, Cactus Pickaxe Head
tconstruct:pick_head:0, Bone Pickaxe Head
tconstruct:pick_head:0, Obsidian Pickaxe Head
tconstruct:pick_head:0, Prismarine Pickaxe Head
tconstruct:pick_head:0, End Pickaxe Head
tconstruct:pick_head:0, Paper Pickaxe Head
tconstruct:pick_head:0, Sponge Pickaxe Head
tconstruct:pick_head:0, Firewood Pickaxe Head
tconstruct:pick_head:0, Iron Pickaxe Head
tconstruct:pick_head:0, Pig Iron Pickaxe Head
tconstruct:pick_head:0, Knightslime Pickaxe Head
tconstruct:pick_head:0, Slime Pickaxe Head
tconstruct:pick_head:0, Slime Pickaxe Head
tconstruct:pick_head:0, Magma Slime Pickaxe Head
tconstruct:pick_head:0, Netherrack Pickaxe Head
tconstruct:pick_head:0, Cobalt Pickaxe Head
tconstruct:pick_head:0, Ardite Pickaxe Head
tconstruct:pick_head:0, Manyullyn Pickaxe Head
tconstruct:pick_head:0, Copper Pickaxe Head
tconstruct:pick_head:0, Bronze Pickaxe Head
tconstruct:pick_head:0, Lead Pickaxe Head
tconstruct:pick_head:0, Silver Pickaxe Head
tconstruct:pick_head:0, Electrum Pickaxe Head
tconstruct:pick_head:0, Steel Pickaxe Head
tconstruct:pick_head:0, Gold Pickaxe Head
tconstruct:pick_head:0, Quartz Pickaxe Head
tconstruct:pick_head:0, Diamond Pickaxe Head
tconstruct:pick_head:0, Emerald Pickaxe Head
tconstruct:pick_head:0, Tin Pickaxe Head
tconstruct:pick_head:0, Zinc Pickaxe Head
tconstruct:pick_head:0, Brass Pickaxe Head
tconstruct:pick_head:0, Nickel Pickaxe Head
tconstruct:pick_head:0, Aluminum Pickaxe Head
tconstruct:pick_head:0, Aluminum Brass Pickaxe Head
tconstruct:pick_head:0, Fairy Pickaxe Head
tconstruct:pick_head:0, Pokefennium Pickaxe Head
tconstruct:pick_head:0, Red Aurum Pickaxe Head
tconstruct:pick_head:0, Drulloy Pickaxe Head
tconstruct:pick_head:0, Alumite Pickaxe Head
tconstruct:pick_head:0, Treated Wood Pickaxe Head
tconstruct:pick_head:0, Constantan Pickaxe Head
tconstruct:shovel_head:0, Topaz Shovel Head
tconstruct:shovel_head:0, Malachite Shovel Head
tconstruct:shovel_head:0, Peridot Shovel Head
tconstruct:shovel_head:0, Tanzanite Shovel Head
tconstruct:shovel_head:0, Ruby Shovel Head
tconstruct:shovel_head:0, Sapphire Shovel Head
tconstruct:shovel_head:0, Amber Shovel Head
tconstruct:shovel_head:0, Wooden Shovel Head
tconstruct:shovel_head:0, Stone Shovel Head
tconstruct:shovel_head:0, Flint Shovel Head
tconstruct:shovel_head:0, Cactus Shovel Head
tconstruct:shovel_head:0, Bone Shovel Head
tconstruct:shovel_head:0, Obsidian Shovel Head
tconstruct:shovel_head:0, Prismarine Shovel Head
tconstruct:shovel_head:0, End Shovel Head
tconstruct:shovel_head:0, Paper Shovel Head
tconstruct:shovel_head:0, Sponge Shovel Head
tconstruct:shovel_head:0, Firewood Shovel Head
tconstruct:shovel_head:0, Iron Shovel Head
tconstruct:shovel_head:0, Pig Iron Shovel Head
tconstruct:shovel_head:0, Knightslime Shovel Head
tconstruct:shovel_head:0, Slime Shovel Head
tconstruct:shovel_head:0, Slime Shovel Head
tconstruct:shovel_head:0, Magma Slime Shovel Head
tconstruct:shovel_head:0, Netherrack Shovel Head
tconstruct:shovel_head:0, Cobalt Shovel Head
tconstruct:shovel_head:0, Ardite Shovel Head
tconstruct:shovel_head:0, Manyullyn Shovel Head
tconstruct:shovel_head:0, Copper Shovel Head
tconstruct:shovel_head:0, Bronze Shovel Head
tconstruct:shovel_head:0, Lead Shovel Head
tconstruct:shovel_head:0, Silver Shovel Head
tconstruct:shovel_head:0, Electrum Shovel Head
tconstruct:shovel_head:0, Steel Shovel Head
tconstruct:shovel_head:0, Gold Shovel Head
tconstruct:shovel_head:0, Quartz Shovel Head
tconstruct:shovel_head:0, Diamond Shovel Head
tconstruct:shovel_head:0, Emerald Shovel Head
tconstruct:shovel_head:0, Tin Shovel Head
tconstruct:shovel_head:0, Zinc Shovel Head
tconstruct:shovel_head:0, Brass Shovel Head
tconstruct:shovel_head:0, Nickel Shovel Head
tconstruct:shovel_head:0, Aluminum Shovel Head
tconstruct:shovel_head:0, Aluminum Brass Shovel Head
tconstruct:shovel_head:0, Fairy Shovel Head
tconstruct:shovel_head:0, Pokefennium Shovel Head
tconstruct:shovel_head:0, Red Aurum Shovel Head
tconstruct:shovel_head:0, Drulloy Shovel Head
tconstruct:shovel_head:0, Alumite Shovel Head
tconstruct:shovel_head:0, Treated Wood Shovel Head
tconstruct:shovel_head:0, Constantan Shovel Head
tconstruct:axe_head:0, Topaz Axe Head
tconstruct:axe_head:0, Malachite Axe Head
tconstruct:axe_head:0, Peridot Axe Head
tconstruct:axe_head:0, Tanzanite Axe Head
tconstruct:axe_head:0, Ruby Axe Head
tconstruct:axe_head:0, Sapphire Axe Head
tconstruct:axe_head:0, Amber Axe Head
tconstruct:axe_head:0, Wooden Axe Head
tconstruct:axe_head:0, Stone Axe Head
tconstruct:axe_head:0, Flint Axe Head
tconstruct:axe_head:0, Cactus Axe Head
tconstruct:axe_head:0, Bone Axe Head
tconstruct:axe_head:0, Obsidian Axe Head
tconstruct:axe_head:0, Prismarine Axe Head
tconstruct:axe_head:0, End Axe Head
tconstruct:axe_head:0, Paper Axe Head
tconstruct:axe_head:0, Sponge Axe Head
tconstruct:axe_head:0, Firewood Axe Head
tconstruct:axe_head:0, Iron Axe Head
tconstruct:axe_head:0, Pig Iron Axe Head
tconstruct:axe_head:0, Knightslime Axe Head
tconstruct:axe_head:0, Slime Axe Head
tconstruct:axe_head:0, Slime Axe Head
tconstruct:axe_head:0, Magma Slime Axe Head
tconstruct:axe_head:0, Netherrack Axe Head
tconstruct:axe_head:0, Cobalt Axe Head
tconstruct:axe_head:0, Ardite Axe Head
tconstruct:axe_head:0, Manyullyn Axe Head
tconstruct:axe_head:0, Copper Axe Head
tconstruct:axe_head:0, Bronze Axe Head
tconstruct:axe_head:0, Lead Axe Head
tconstruct:axe_head:0, Silver Axe Head
tconstruct:axe_head:0, Electrum Axe Head
tconstruct:axe_head:0, Steel Axe Head
tconstruct:axe_head:0, Gold Axe Head
tconstruct:axe_head:0, Quartz Axe Head
tconstruct:axe_head:0, Diamond Axe Head
tconstruct:axe_head:0, Emerald Axe Head
tconstruct:axe_head:0, Tin Axe Head
tconstruct:axe_head:0, Zinc Axe Head
tconstruct:axe_head:0, Brass Axe Head
tconstruct:axe_head:0, Nickel Axe Head
tconstruct:axe_head:0, Aluminum Axe Head
tconstruct:axe_head:0, Aluminum Brass Axe Head
tconstruct:axe_head:0, Fairy Axe Head
tconstruct:axe_head:0, Pokefennium Axe Head
tconstruct:axe_head:0, Red Aurum Axe Head
tconstruct:axe_head:0, Drulloy Axe Head
tconstruct:axe_head:0, Alumite Axe Head
tconstruct:axe_head:0, Treated Wood Axe Head
tconstruct:axe_head:0, Constantan Axe Head
tconstruct:broad_axe_head:0, Topaz Broad Axe Head
tconstruct:broad_axe_head:0, Malachite Broad Axe Head
tconstruct:broad_axe_head:0, Peridot Broad Axe Head
tconstruct:broad_axe_head:0, Tanzanite Broad Axe Head
tconstruct:broad_axe_head:0, Ruby Broad Axe Head
tconstruct:broad_axe_head:0, Sapphire Broad Axe Head
tconstruct:broad_axe_head:0, Amber Broad Axe Head
tconstruct:broad_axe_head:0, Wooden Broad Axe Head
tconstruct:broad_axe_head:0, Stone Broad Axe Head
tconstruct:broad_axe_head:0, Flint Broad Axe Head
tconstruct:broad_axe_head:0, Cactus Broad Axe Head
tconstruct:broad_axe_head:0, Bone Broad Axe Head
tconstruct:broad_axe_head:0, Obsidian Broad Axe Head
tconstruct:broad_axe_head:0, Prismarine Broad Axe Head
tconstruct:broad_axe_head:0, End Broad Axe Head
tconstruct:broad_axe_head:0, Paper Broad Axe Head
tconstruct:broad_axe_head:0, Sponge Broad Axe Head
tconstruct:broad_axe_head:0, Firewood Broad Axe Head
tconstruct:broad_axe_head:0, Iron Broad Axe Head
tconstruct:broad_axe_head:0, Pig Iron Broad Axe Head
tconstruct:broad_axe_head:0, Knightslime Broad Axe Head
tconstruct:broad_axe_head:0, Slime Broad Axe Head
tconstruct:broad_axe_head:0, Slime Broad Axe Head
tconstruct:broad_axe_head:0, Magma Slime Broad Axe Head
tconstruct:broad_axe_head:0, Netherrack Broad Axe Head
tconstruct:broad_axe_head:0, Cobalt Broad Axe Head
tconstruct:broad_axe_head:0, Ardite Broad Axe Head
tconstruct:broad_axe_head:0, Manyullyn Broad Axe Head
tconstruct:broad_axe_head:0, Copper Broad Axe Head
tconstruct:broad_axe_head:0, Bronze Broad Axe Head
tconstruct:broad_axe_head:0, Lead Broad Axe Head
tconstruct:broad_axe_head:0, Silver Broad Axe Head
tconstruct:broad_axe_head:0, Electrum Broad Axe Head
tconstruct:broad_axe_head:0, Steel Broad Axe Head
tconstruct:broad_axe_head:0, Gold Broad Axe Head
tconstruct:broad_axe_head:0, Quartz Broad Axe Head
tconstruct:broad_axe_head:0, Diamond Broad Axe Head
tconstruct:broad_axe_head:0, Emerald Broad Axe Head
tconstruct:broad_axe_head:0, Tin Broad Axe Head
tconstruct:broad_axe_head:0, Zinc Broad Axe Head
tconstruct:broad_axe_head:0, Brass Broad Axe Head
tconstruct:broad_axe_head:0, Nickel Broad Axe Head
tconstruct:broad_axe_head:0, Aluminum Broad Axe Head
tconstruct:broad_axe_head:0, Aluminum Brass Broad Axe Head
tconstruct:broad_axe_head:0, Fairy Broad Axe Head
tconstruct:broad_axe_head:0, Pokefennium Broad Axe Head
tconstruct:broad_axe_head:0, Red Aurum Broad Axe Head
tconstruct:broad_axe_head:0, Drulloy Broad Axe Head
tconstruct:broad_axe_head:0, Alumite Broad Axe Head
tconstruct:broad_axe_head:0, Treated Wood Broad Axe Head
tconstruct:broad_axe_head:0, Constantan Broad Axe Head
tconstruct:sword_blade:0, Topaz Sword Blade
tconstruct:sword_blade:0, Malachite Sword Blade
tconstruct:sword_blade:0, Peridot Sword Blade
tconstruct:sword_blade:0, Tanzanite Sword Blade
tconstruct:sword_blade:0, Ruby Sword Blade
tconstruct:sword_blade:0, Sapphire Sword Blade
tconstruct:sword_blade:0, Amber Sword Blade
tconstruct:sword_blade:0, Wooden Sword Blade
tconstruct:sword_blade:0, Stone Sword Blade
tconstruct:sword_blade:0, Flint Sword Blade
tconstruct:sword_blade:0, Cactus Sword Blade
tconstruct:sword_blade:0, Bone Sword Blade
tconstruct:sword_blade:0, Obsidian Sword Blade
tconstruct:sword_blade:0, Prismarine Sword Blade
tconstruct:sword_blade:0, End Sword Blade
tconstruct:sword_blade:0, Paper Sword Blade
tconstruct:sword_blade:0, Sponge Sword Blade
tconstruct:sword_blade:0, Firewood Sword Blade
tconstruct:sword_blade:0, Iron Sword Blade
tconstruct:sword_blade:0, Pig Iron Sword Blade
tconstruct:sword_blade:0, Knightslime Sword Blade
tconstruct:sword_blade:0, Slime Sword Blade
tconstruct:sword_blade:0, Slime Sword Blade
tconstruct:sword_blade:0, Magma Slime Sword Blade
tconstruct:sword_blade:0, Netherrack Sword Blade
tconstruct:sword_blade:0, Cobalt Sword Blade
tconstruct:sword_blade:0, Ardite Sword Blade
tconstruct:sword_blade:0, Manyullyn Sword Blade
tconstruct:sword_blade:0, Copper Sword Blade
tconstruct:sword_blade:0, Bronze Sword Blade
tconstruct:sword_blade:0, Lead Sword Blade
tconstruct:sword_blade:0, Silver Sword Blade
tconstruct:sword_blade:0, Electrum Sword Blade
tconstruct:sword_blade:0, Steel Sword Blade
tconstruct:sword_blade:0, Gold Sword Blade
tconstruct:sword_blade:0, Quartz Sword Blade
tconstruct:sword_blade:0, Diamond Sword Blade
tconstruct:sword_blade:0, Emerald Sword Blade
tconstruct:sword_blade:0, Tin Sword Blade
tconstruct:sword_blade:0, Zinc Sword Blade
tconstruct:sword_blade:0, Brass Sword Blade
tconstruct:sword_blade:0, Nickel Sword Blade
tconstruct:sword_blade:0, Aluminum Sword Blade
tconstruct:sword_blade:0, Aluminum Brass Sword Blade
tconstruct:sword_blade:0, Fairy Sword Blade
tconstruct:sword_blade:0, Pokefennium Sword Blade
tconstruct:sword_blade:0, Red Aurum Sword Blade
tconstruct:sword_blade:0, Drulloy Sword Blade
tconstruct:sword_blade:0, Alumite Sword Blade
tconstruct:sword_blade:0, Treated Wood Sword Blade
tconstruct:sword_blade:0, Constantan Sword Blade
tconstruct:large_sword_blade:0, Topaz Large Sword Blade
tconstruct:large_sword_blade:0, Malachite Large Sword Blade
tconstruct:large_sword_blade:0, Peridot Large Sword Blade
tconstruct:large_sword_blade:0, Tanzanite Large Sword Blade
tconstruct:large_sword_blade:0, Ruby Large Sword Blade
tconstruct:large_sword_blade:0, Sapphire Large Sword Blade
tconstruct:large_sword_blade:0, Amber Large Sword Blade
tconstruct:large_sword_blade:0, Wooden Large Sword Blade
tconstruct:large_sword_blade:0, Stone Large Sword Blade
tconstruct:large_sword_blade:0, Flint Large Sword Blade
tconstruct:large_sword_blade:0, Cactus Large Sword Blade
tconstruct:large_sword_blade:0, Bone Large Sword Blade
tconstruct:large_sword_blade:0, Obsidian Large Sword Blade
tconstruct:large_sword_blade:0, Prismarine Large Sword Blade
tconstruct:large_sword_blade:0, End Large Sword Blade
tconstruct:large_sword_blade:0, Paper Large Sword Blade
tconstruct:large_sword_blade:0, Sponge Large Sword Blade
tconstruct:large_sword_blade:0, Firewood Large Sword Blade
tconstruct:large_sword_blade:0, Iron Large Sword Blade
tconstruct:large_sword_blade:0, Pig Iron Large Sword Blade
tconstruct:large_sword_blade:0, Knightslime Large Sword Blade
tconstruct:large_sword_blade:0, Slime Large Sword Blade
tconstruct:large_sword_blade:0, Slime Large Sword Blade
tconstruct:large_sword_blade:0, Magma Slime Large Sword Blade
tconstruct:large_sword_blade:0, Netherrack Large Sword Blade
tconstruct:large_sword_blade:0, Cobalt Large Sword Blade
tconstruct:large_sword_blade:0, Ardite Large Sword Blade
tconstruct:large_sword_blade:0, Manyullyn Large Sword Blade
tconstruct:large_sword_blade:0, Copper Large Sword Blade
tconstruct:large_sword_blade:0, Bronze Large Sword Blade
tconstruct:large_sword_blade:0, Lead Large Sword Blade
tconstruct:large_sword_blade:0, Silver Large Sword Blade
tconstruct:large_sword_blade:0, Electrum Large Sword Blade
tconstruct:large_sword_blade:0, Steel Large Sword Blade
tconstruct:large_sword_blade:0, Gold Large Sword Blade
tconstruct:large_sword_blade:0, Quartz Large Sword Blade
tconstruct:large_sword_blade:0, Diamond Large Sword Blade
tconstruct:large_sword_blade:0, Emerald Large Sword Blade
tconstruct:large_sword_blade:0, Tin Large Sword Blade
tconstruct:large_sword_blade:0, Zinc Large Sword Blade
tconstruct:large_sword_blade:0, Brass Large Sword Blade
tconstruct:large_sword_blade:0, Nickel Large Sword Blade
tconstruct:large_sword_blade:0, Aluminum Large Sword Blade
tconstruct:large_sword_blade:0, Aluminum Brass Large Sword Blade
tconstruct:large_sword_blade:0, Fairy Large Sword Blade
tconstruct:large_sword_blade:0, Pokefennium Large Sword Blade
tconstruct:large_sword_blade:0, Red Aurum Large Sword Blade
tconstruct:large_sword_blade:0, Drulloy Large Sword Blade
tconstruct:large_sword_blade:0, Alumite Large Sword Blade
tconstruct:large_sword_blade:0, Treated Wood Large Sword Blade
tconstruct:large_sword_blade:0, Constantan Large Sword Blade
tconstruct:hammer_head:0, Topaz Hammer Head
tconstruct:hammer_head:0, Malachite Hammer Head
tconstruct:hammer_head:0, Peridot Hammer Head
tconstruct:hammer_head:0, Tanzanite Hammer Head
tconstruct:hammer_head:0, Ruby Hammer Head
tconstruct:hammer_head:0, Sapphire Hammer Head
tconstruct:hammer_head:0, Amber Hammer Head
tconstruct:hammer_head:0, Wooden Hammer Head
tconstruct:hammer_head:0, Stone Hammer Head
tconstruct:hammer_head:0, Flint Hammer Head
tconstruct:hammer_head:0, Cactus Hammer Head
tconstruct:hammer_head:0, Bone Hammer Head
tconstruct:hammer_head:0, Obsidian Hammer Head
tconstruct:hammer_head:0, Prismarine Hammer Head
tconstruct:hammer_head:0, End Hammer Head
tconstruct:hammer_head:0, Paper Hammer Head
tconstruct:hammer_head:0, Sponge Hammer Head
tconstruct:hammer_head:0, Firewood Hammer Head
tconstruct:hammer_head:0, Iron Hammer Head
tconstruct:hammer_head:0, Pig Iron Hammer Head
tconstruct:hammer_head:0, Knightslime Hammer Head
tconstruct:hammer_head:0, Slime Hammer Head
tconstruct:hammer_head:0, Slime Hammer Head
tconstruct:hammer_head:0, Magma Slime Hammer Head
tconstruct:hammer_head:0, Netherrack Hammer Head
tconstruct:hammer_head:0, Cobalt Hammer Head
tconstruct:hammer_head:0, Ardite Hammer Head
tconstruct:hammer_head:0, Manyullyn Hammer Head
tconstruct:hammer_head:0, Copper Hammer Head
tconstruct:hammer_head:0, Bronze Hammer Head
tconstruct:hammer_head:0, Lead Hammer Head
tconstruct:hammer_head:0, Silver Hammer Head
tconstruct:hammer_head:0, Electrum Hammer Head
tconstruct:hammer_head:0, Steel Hammer Head
tconstruct:hammer_head:0, Gold Hammer Head
tconstruct:hammer_head:0, Quartz Hammer Head
tconstruct:hammer_head:0, Diamond Hammer Head
tconstruct:hammer_head:0, Emerald Hammer Head
tconstruct:hammer_head:0, Tin Hammer Head
tconstruct:hammer_head:0, Zinc Hammer Head
tconstruct:hammer_head:0, Brass Hammer Head
tconstruct:hammer_head:0, Nickel Hammer Head
tconstruct:hammer_head:0, Aluminum Hammer Head
tconstruct:hammer_head:0, Aluminum Brass Hammer Head
tconstruct:hammer_head:0, Fairy Hammer Head
tconstruct:hammer_head:0, Pokefennium Hammer Head
tconstruct:hammer_head:0, Red Aurum Hammer Head
tconstruct:hammer_head:0, Drulloy Hammer Head
tconstruct:hammer_head:0, Alumite Hammer Head
tconstruct:hammer_head:0, Treated Wood Hammer Head
tconstruct:hammer_head:0, Constantan Hammer Head
tconstruct:excavator_head:0, Topaz Excavator Head
tconstruct:excavator_head:0, Malachite Excavator Head
tconstruct:excavator_head:0, Peridot Excavator Head
tconstruct:excavator_head:0, Tanzanite Excavator Head
tconstruct:excavator_head:0, Ruby Excavator Head
tconstruct:excavator_head:0, Sapphire Excavator Head
tconstruct:excavator_head:0, Amber Excavator Head
tconstruct:excavator_head:0, Wooden Excavator Head
tconstruct:excavator_head:0, Stone Excavator Head
tconstruct:excavator_head:0, Flint Excavator Head
tconstruct:excavator_head:0, Cactus Excavator Head
tconstruct:excavator_head:0, Bone Excavator Head
tconstruct:excavator_head:0, Obsidian Excavator Head
tconstruct:excavator_head:0, Prismarine Excavator Head
tconstruct:excavator_head:0, End Excavator Head
tconstruct:excavator_head:0, Paper Excavator Head
tconstruct:excavator_head:0, Sponge Excavator Head
tconstruct:excavator_head:0, Firewood Excavator Head
tconstruct:excavator_head:0, Iron Excavator Head
tconstruct:excavator_head:0, Pig Iron Excavator Head
tconstruct:excavator_head:0, Knightslime Excavator Head
tconstruct:excavator_head:0, Slime Excavator Head
tconstruct:excavator_head:0, Slime Excavator Head
tconstruct:excavator_head:0, Magma Slime Excavator Head
tconstruct:excavator_head:0, Netherrack Excavator Head
tconstruct:excavator_head:0, Cobalt Excavator Head
tconstruct:excavator_head:0, Ardite Excavator Head
tconstruct:excavator_head:0, Manyullyn Excavator Head
tconstruct:excavator_head:0, Copper Excavator Head
tconstruct:excavator_head:0, Bronze Excavator Head
tconstruct:excavator_head:0, Lead Excavator Head
tconstruct:excavator_head:0, Silver Excavator Head
tconstruct:excavator_head:0, Electrum Excavator Head
tconstruct:excavator_head:0, Steel Excavator Head
tconstruct:excavator_head:0, Gold Excavator Head
tconstruct:excavator_head:0, Quartz Excavator Head
tconstruct:excavator_head:0, Diamond Excavator Head
tconstruct:excavator_head:0, Emerald Excavator Head
tconstruct:excavator_head:0, Tin Excavator Head
tconstruct:excavator_head:0, Zinc Excavator Head
tconstruct:excavator_head:0, Brass Excavator Head
tconstruct:excavator_head:0, Nickel Excavator Head
tconstruct:excavator_head:0, Aluminum Excavator Head
tconstruct:excavator_head:0, Aluminum Brass Excavator Head
tconstruct:excavator_head:0, Fairy Excavator Head
tconstruct:excavator_head:0, Pokefennium Excavator Head
tconstruct:excavator_head:0, Red Aurum Excavator Head
tconstruct:excavator_head:0, Drulloy Excavator Head
tconstruct:excavator_head:0, Alumite Excavator Head
tconstruct:excavator_head:0, Treated Wood Excavator Head
tconstruct:excavator_head:0, Constantan Excavator Head
tconstruct:kama_head:0, Topaz Kama Head
tconstruct:kama_head:0, Malachite Kama Head
tconstruct:kama_head:0, Peridot Kama Head
tconstruct:kama_head:0, Tanzanite Kama Head
tconstruct:kama_head:0, Ruby Kama Head
tconstruct:kama_head:0, Sapphire Kama Head
tconstruct:kama_head:0, Amber Kama Head
tconstruct:kama_head:0, Wooden Kama Head
tconstruct:kama_head:0, Stone Kama Head
tconstruct:kama_head:0, Flint Kama Head
tconstruct:kama_head:0, Cactus Kama Head
tconstruct:kama_head:0, Bone Kama Head
tconstruct:kama_head:0, Obsidian Kama Head
tconstruct:kama_head:0, Prismarine Kama Head
tconstruct:kama_head:0, End Kama Head
tconstruct:kama_head:0, Paper Kama Head
tconstruct:kama_head:0, Sponge Kama Head
tconstruct:kama_head:0, Firewood Kama Head
tconstruct:kama_head:0, Iron Kama Head
tconstruct:kama_head:0, Pig Iron Kama Head
tconstruct:kama_head:0, Knightslime Kama Head
tconstruct:kama_head:0, Slime Kama Head
tconstruct:kama_head:0, Slime Kama Head
tconstruct:kama_head:0, Magma Slime Kama Head
tconstruct:kama_head:0, Netherrack Kama Head
tconstruct:kama_head:0, Cobalt Kama Head
tconstruct:kama_head:0, Ardite Kama Head
tconstruct:kama_head:0, Manyullyn Kama Head
tconstruct:kama_head:0, Copper Kama Head
tconstruct:kama_head:0, Bronze Kama Head
tconstruct:kama_head:0, Lead Kama Head
tconstruct:kama_head:0, Silver Kama Head
tconstruct:kama_head:0, Electrum Kama Head
tconstruct:kama_head:0, Steel Kama Head
tconstruct:kama_head:0, Gold Kama Head
tconstruct:kama_head:0, Quartz Kama Head
tconstruct:kama_head:0, Diamond Kama Head
tconstruct:kama_head:0, Emerald Kama Head
tconstruct:kama_head:0, Tin Kama Head
tconstruct:kama_head:0, Zinc Kama Head
tconstruct:kama_head:0, Brass Kama Head
tconstruct:kama_head:0, Nickel Kama Head
tconstruct:kama_head:0, Aluminum Kama Head
tconstruct:kama_head:0, Aluminum Brass Kama Head
tconstruct:kama_head:0, Fairy Kama Head
tconstruct:kama_head:0, Pokefennium Kama Head
tconstruct:kama_head:0, Red Aurum Kama Head
tconstruct:kama_head:0, Drulloy Kama Head
tconstruct:kama_head:0, Alumite Kama Head
tconstruct:kama_head:0, Treated Wood Kama Head
tconstruct:kama_head:0, Constantan Kama Head
tconstruct:scythe_head:0, Topaz Scythe Head
tconstruct:scythe_head:0, Malachite Scythe Head
tconstruct:scythe_head:0, Peridot Scythe Head
tconstruct:scythe_head:0, Tanzanite Scythe Head
tconstruct:scythe_head:0, Ruby Scythe Head
tconstruct:scythe_head:0, Sapphire Scythe Head
tconstruct:scythe_head:0, Amber Scythe Head
tconstruct:scythe_head:0, Wooden Scythe Head
tconstruct:scythe_head:0, Stone Scythe Head
tconstruct:scythe_head:0, Flint Scythe Head
tconstruct:scythe_head:0, Cactus Scythe Head
tconstruct:scythe_head:0, Bone Scythe Head
tconstruct:scythe_head:0, Obsidian Scythe Head
tconstruct:scythe_head:0, Prismarine Scythe Head
tconstruct:scythe_head:0, End Scythe Head
tconstruct:scythe_head:0, Paper Scythe Head
tconstruct:scythe_head:0, Sponge Scythe Head
tconstruct:scythe_head:0, Firewood Scythe Head
tconstruct:scythe_head:0, Iron Scythe Head
tconstruct:scythe_head:0, Pig Iron Scythe Head
tconstruct:scythe_head:0, Knightslime Scythe Head
tconstruct:scythe_head:0, Slime Scythe Head
tconstruct:scythe_head:0, Slime Scythe Head
tconstruct:scythe_head:0, Magma Slime Scythe Head
tconstruct:scythe_head:0, Netherrack Scythe Head
tconstruct:scythe_head:0, Cobalt Scythe Head
tconstruct:scythe_head:0, Ardite Scythe Head
tconstruct:scythe_head:0, Manyullyn Scythe Head
tconstruct:scythe_head:0, Copper Scythe Head
tconstruct:scythe_head:0, Bronze Scythe Head
tconstruct:scythe_head:0, Lead Scythe Head
tconstruct:scythe_head:0, Silver Scythe Head
tconstruct:scythe_head:0, Electrum Scythe Head
tconstruct:scythe_head:0, Steel Scythe Head
tconstruct:scythe_head:0, Gold Scythe Head
tconstruct:scythe_head:0, Quartz Scythe Head
